front,back,hint,publishedAt
"Unbehagen","Discomfort","Das Unbehagen in der Gruppe war deutlich spürbar.","2025-09-16T05:56:13.736Z"
"Kapitulation","surrender","Die Kapitulation der Stadt wurde am 5. Mai 1945 bekannt gegeben.","2025-09-16T05:56:48.040Z"
"forderte","demanded","Der Lehrer forderte die Schüler auf, ihre Hausaufgaben abzugeben.","2025-06-29T15:13:00.526Z"
"apropos","speaking of","","2021-06-17T12:13:18.514Z"
"entspannen","relax","Wenn Sie schon einmal eine gute Fußmassage erlebt haben, wissen Sie sicher, wie sehr sie Körper und Geist entspannen kann.","2021-01-16T17:59:15.130Z"
"sprießen","sprout","Im Frühling sprießen die Blumen aus der Erde.","2025-09-09T05:22:46.299Z"
"verringern / reducieren","reduce / reduce","Wir müssen die Kosten verringern.","2025-09-16T05:55:57.450Z"
"Achsel / Achselhöhle / Unterarm","Armpit / Underarm","Er hat sich beim Sport in der Achsel verletzt.","2025-09-09T05:23:27.638Z"
"Erhebung / Umfrage / Befragung","Survey","Die Erhebung der Daten dauert mehrere Wochen.","2025-09-09T05:24:32.267Z"
"untenrum","underneath","Ich habe mir beim Sport untenrum wehgetan.","2025-09-09T05:20:41.520Z"
"Luftverschmutzung","Air pollution","Die Luftverschmutzung in der Stadt hat in den letzten Jahren zugenommen.","2025-07-18T14:36:48.638Z"
"ernährungsproblem","nutritional problem","Viele Menschen haben ein Ernährungsproblem, weil sie zu viel Fast Food essen.","2026-03-24T13:38:50.692Z"
"Industrienationen","Industrialised nations","Die Industrienationen haben oft einen großen Einfluss auf die Weltwirtschaft.","2025-07-18T14:35:41.883Z"
"enthüllen","reveal","Die Journalisten werden die Wahrheit über den Skandal enthüllen.","2025-07-11T13:48:12.679Z"
"breiige","mushy","Der Pudding hat eine breiige Konsistenz.","2026-03-29T22:53:57.952Z"
"vorhersagen","predict","Die Wahrsagerin hat mir meine Zukunft vorhergesagt.\nEr kann gut vorhersagen, wie sich die Aktienkurse entwickeln werden.\nDie Meteorologen sagen Regen für morgen vorher.\nDie Wettervorhersage sagt Regen voraus.","2026-03-29T22:44:52.934Z"
"strecken / verlängern","stretch / extend","","2025-07-11T13:44:54.073Z"
"jedermann","everyone","Jedermann ist herzlich eingeladen, an der Feier teilzunehmen.","2026-03-24T13:35:51.227Z"
"wiederkehrenden","recurring","","2026-04-02T08:31:46.486Z"
